   0.00532   0.01619 137.88225   5.29925   4.61957   3.99074   4.94146   5.30233   0.28410
   0.00548   0.01645 151.53868   5.76737   5.09237   4.46691   5.41291   5.77105   0.31988
   0.00563   0.01670 165.69276   6.25813   5.58771   4.96550   5.90697   6.26251   0.35960
   0.00577   0.01694 179.32300   6.73318   6.06706   5.44788   6.38516   6.73827   0.39903
   0.00591   0.01717 192.98906   7.21572   6.55367   5.93733   6.87075   7.22161   0.44162
   0.00605   0.01740 206.91386   7.71005   7.05209   6.43854   7.36816   7.71681   0.48639
   0.00619   0.01763 221.22539   8.22362   7.56970   6.95888   7.88484   8.23136   0.53522
   0.00633   0.01785 235.09995   8.72497   8.07490   7.46665   8.38921   8.73372   0.58444
   0.00646   0.01806 248.71794   9.22201   8.57564   7.96979   8.88920   9.23184   0.63543
   0.00659   0.01827 262.58136   9.73045   9.08781   8.48436   9.40065   9.74144   0.68873
   0.00672   0.01848 276.89133  10.26211   9.62322   9.02212   9.93542  10.27441   0.74763
   0.00684   0.01868 290.41464  10.76453  10.12919   9.53032  10.44080  10.77808   0.80330
   0.00696   0.01887 304.05200  11.28058  10.64875  10.05197  10.95988  11.29557   0.86512
   0.00709   0.01906 317.73886  11.79854  11.17025  10.57556  11.48090  11.81500   0.92718
   0.00303   0.01275  -4.27510   0.66494   0.00000   0.00000   0.29272   0.66480   0.01724
   0.00319   0.01304  -3.63463   0.66800   0.00000   0.00000   0.29991   0.66787   0.01867
   0.00342   0.01345  -2.21493   0.69115   0.00779   0.00000   0.32880   0.69103   0.02106
   0.00358   0.01375  -0.87503   0.72079   0.03706   0.00000   0.36236   0.72068   0.02304
   0.00376   0.01407   0.85007   0.76408   0.08801   0.00000   0.40957   0.76398   0.02543
   0.00392   0.01434   2.62376   0.81128   0.14000   0.00000   0.46003   0.81120   0.02774
   0.00407   0.01460   4.55352   0.86437   0.19797   0.00000   0.51614   0.86429   0.03021
   0.00423   0.01487   6.98882   0.93361   0.27209   0.00000   0.58848   0.93355   0.03327
   0.00437   0.01511   9.36055   1.00222   0.34484   0.00000   0.65971   1.00218   0.03626
   0.00450   0.01534  11.80853   1.07373   0.42026   0.00000   0.73368   1.07371   0.03935
   0.00461   0.01552  13.98524   1.13815   0.48770   0.00000   0.80001   1.13815   0.04213
   0.00484   0.01591  18.93698   1.28916   0.64496   0.04860   0.95497   1.28920   0.04871
   0.00505   0.01625  23.56252   1.43711   0.79808   0.18757   1.10618   1.43720   0.05540
   0.00528   0.01663  29.23174   1.62180   0.98839   0.38879   1.29442   1.62197   0.06404
   0.00552   0.01702  35.76973   1.83592   1.20818   0.61231   1.51212   1.83619   0.07452
   0.00574   0.01738  42.23687   2.04927   1.42653   0.83529   1.72864   2.04965   0.08550
   0.00597   0.01774  49.26499   2.28288   1.66507   1.07810   1.96538   2.28341   0.09806
   0.00616   0.01805  55.49398   2.49142   1.87761   1.29417   2.17648   2.49209   0.10977
   0.00639   0.01842  63.61803   2.76596   2.15692   1.57766   2.45409   2.76685   0.12604
   0.00660   0.01875  71.20099   3.02439   2.41949   1.84385   2.71520   3.02551   0.14208
   0.00679   0.01905  78.36577   3.26992   2.66875   2.09638   2.96316   3.27127   0.15777
